two_word
"actual testifi"
"trump rape"
"fuck presid"
"normal colleg"
"colleg experi"
"wtf doe"
"girl s"
"s idea"
"last name"
"knew noth"
"golf pro"
"father s"
"wa call"
"take lesson"
"lesson 3x"
"8 week"
"grown man"
"belov church"
"church organist"
"pomodoro techniqu"
"techniqu gamif"
"rosenstein 25th"
"addison russel"
"jeff banist"
"banist kevin"
"kevin hart"
"hart mister"
"mister roger"
"male lawyer"
"lawyer friend"
"friend year"
"dorm room"
"second hand"
"hand stori"
"kavanaugh hear"
"still happen"
"impact stori"
"stori happen"
"even 3"
"3 quarter"
"woman know"
"ha reach"
"privat sinc"
"sinc read"
"m send"
"send love"
"ha post"
"stori today"
"ha decid"
"stay courag"
"get blame"
"peopl wonder"
"topic right"
"presid tri"
"discredit sexual"
"prove whi"
"whi sexual"
"ima black"
"tryna go"
"like emmitt"
"emmitt till"
"say whatev"
"accus anyon"
"place emot"
"feel right"
"veri grate"
"peopl speak"
"3 marin"
"marin rape"
"rape 2"
"2 colleg"
"perpetu today"
"enough final"
"final enough"
"talent agent"
"repeat forc"
"caus bleed"
"learn bc"
"one said"
"buy insid"
"consid grope"
"trumpu2019 comment"
"comment produc"
"widespread backlash"
"lawmak u2014"
"u2014 includ"
"key republican"
"republican senat"
"senat u2014"
"friday afternoon"
"everi adult"
"broke free"
"look back"
"saw peopl"
"absolut devast"
"famili secret"
"peopl say"
"time limit"
"like juanita"
"real rape"
"jurisdict noth"
"worst high"
"school experi"
"everyon turn"
"sunday school"
"school teacher"
"church bus"
"appl cart"
"seem insurmount"
"stay away"
"12 go"
"ever drank"
"say ani"
"ani assault"
"learn whi"
"peopl keep"
"na doctor"
"death protect"
"well like"
"like employe"
"went silent"
"felt reject"
"someth wrong"
"onli form"
"famili friend"
"forcibl kiss"
"cute pack"
"becaus religion"
"religion teach"
"teach woman"
"woman it"
"rapist deserv"
"deserv sympathi"
"religi woman"
"woman think"
"think they"
"somehow fail"
"fail god"
"report rape"
"one day"
"made sexual"
"sexual advanc"
"violent rape"
"live togeth"
"son togeth"
"earli 20"
"soccer team"
"felt asham"
"court case"
"last thing"
"sjybtc read"
"therapist acknowledg"
"told befor"
"befor kavanaugh"
"long script"
"diann feinstein"
"feinstein first"
"never felt"
"gang rape"
"communiti shun"
"pain obvious"
"school counselor"
"therapist told"
"boy becaus"
"pay price"
"quot tweet"
"dustingiebel becaus"
"dad s"
"s friend"
"forget say"
"say u201cno"
"two week"
"judg say"
"suffici physic"
"rapist get"
"alway win"
"read judg"
"still afraid"
"shame instil"
"earli age"
"actual thought"
"one challeng"
"shame return"
"timoun al"
"al li"
"li kek"
"kek twit"
"twit nan"
"nan hashtag"
"hashtag sa"
"bagay la"
"la bay"
"one consid"
"veri desir"
"mother told"
"terrifi moment"
"men s"
"s word"
"ask amber"
"ask anita"
"ask dr"
"went home"
"male student"
"student felt"
"simpli chang"
"seat chart"
"man work"
"hous touch"
"know ani"
"ani better"
"conveni come"
"befor unhing"
"unhing democrat"
"scotus confirm"
"confirm vote"
"vote right"
"often ha"
"pathet scheme"
"perpetu victim"
"becaus mayb"
"fault sinc"
"opposit question"
"month ago"
"told one"
